"species","v1","v2","scientificName","kingdom","phylum","class","order","family","db","db_code","reported_name_fixed","reported_name","ID"
"Abaciscus tristis",1,1,"Abaciscus tristis","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","gbif","GBIF:1986936","Abaciscus tristis","Abaciscus tristis",1
"Abax parallelepipedus",1,1,"Abax parallelepipedus","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","gbif","GBIF:5754772","Abax parallelepipedus","Abax parallelepipedus",2
"Abax parallelus",1,1,"Abax parallelus","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","gbif","GBIF:5754817","Abax parallelus","Abax parallelus",3
"Abies alba",1,1,"Abies alba","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685484","Abies alba","Abies alba",4
"Abies balsamea",1,1,"Abies balsamea","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685383","Abies balsamea","Abies balsamea",5
"Abies concolor",1,1,"Abies concolor","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685580","Abies concolor","Abies concolor",6
"Abies grandis",1,1,"Abies grandis","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685361","Abies grandis","Abies grandis",7
"Abies kawakamii",1,0,"Abies kawakamii","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:8326713","Abies kawakamii","Abies kawakamii",8
"Abies lasiocarpa",0,1,"Abies lasiocarpa","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685313","Abies lasiocarpa","Abies lasiocarpa",9
"Abies magnifica",1,1,"Abies magnifica","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685422","Abies magnifica","Abies magnifica",10
"Abies nordmanniana",1,1,"Abies nordmanniana","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685552","Abies nordmanniana","Abies nordmanniana",11
"Abies pinsapo",0,1,"Abies pinsapo","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","gbif","GBIF:2685464","Abies pinsapo","Abies pinsapo",12
"Abra alba",1,1,"Abra alba","Animalia","Mollusca","Bivalvia","Cardiida","Semelidae","gbif","GBIF:5189061","Abra alba","Abra alba",13
"Abra prismatica",1,1,"Abra prismatica","Animalia","Mollusca","Bivalvia","Cardiida","Semelidae","gbif","GBIF:5189053","Abra prismatica","Abra prismatica",14
"Abramis brama",1,1,"Abramis brama","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","gbif","GBIF:9809222","Abramis brama","Abramis brama",15
"Abraxas grossulariatus",1,1,"Abraxas grossulariata","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","gbif","GBIF:1967873","Abraxas grossulariata","Abraxas grossulariata",16
"Abraxas grossulariata",1,1,"Abraxas grossulariata","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","gbif","GBIF:1967873","Abraxas grossulariata","Abraxas grossulariata",17
"Abraxas intervacuata",1,1,"Abraxas intervacuata","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","gbif","GBIF:1967959","Abraxas intervacuata","Abraxas intervacuata",18
"Abraxas invasata",1,1,"Abraxas invasata","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","gbif","GBIF:1967945","Abraxas invasata","Abraxas invasata",19
"Abraxas sylvata",1,1,"Abraxas sylvata","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","gbif","GBIF:1967815","Abraxas sylvata","Abraxas sylvata",20
"Abronia latifolia",1,1,"Abronia latifolia","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","gbif","GBIF:5384891","Abronia latifolia","Abronia latifolia",21
"Abronia maritima",1,1,"Abronia maritima","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","gbif","GBIF:5384895","Abronia maritima","Abronia maritima",22
"Abronia nana",1,1,"Abronia nana","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","gbif","GBIF:5384875","Abronia nana","Abronia nana var. covillei",23
"Abronia pogonantha",1,1,"Abronia pogonantha","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","gbif","GBIF:5384868","Abronia pogonantha","Abronia pogonantha",24
"Abronia umbellata",1,1,"Abronia umbellata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","gbif","GBIF:5384870","Abronia umbellata","Abronia umbellata",25
"Abronia villosa",1,1,"Abronia villosa","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","gbif","GBIF:5384880","Abronia villosa","Abronia villosa",26
"Abronia villosa",1,1,"Abronia villosa","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","gbif","GBIF:5384880","Abronia villosa","Abronia villosa var. aurita",27
"Abronia villosa",1,1,"Abronia villosa","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","gbif","GBIF:5384880","Abronia villosa","Abronia villosa var. villosa",28
"Abroscopus superciliaris",1,1,"Abroscopus superciliaris","Animalia","Chordata","Aves","Passeriformes","Cettiidae","gbif","GBIF:2493238","Abroscopus superciliaris","Abroscopus superciliaris",29
"Abrostola asclepiadis",1,1,"Abrostola asclepiadis","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","gbif","GBIF:1767608","Abrostola asclepiadis","Abrostola asclepiadis",30
"Abrostola tripartita",1,1,"Abrostola tripartita","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","gbif","GBIF:1767625","Abrostola tripartita","Abrostola tripartita",31
"Abrostola triplasia",1,1,"Abrostola triplasia","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","gbif","GBIF:1767597","Abrostola triplasia","Abrostola triplasia",32
"Podistra schoenherri",1,1,"Podistra schoenherri","Animalia","Arthropoda","Insecta","Coleoptera","Cantharidae","gbif","GBIF:4429884","Absidia schoenherri","Absidia schoenherri",33
"Aburria aburri",0,1,"Aburria aburri","Animalia","Chordata","Aves","Galliformes","Cracidae","gbif","GBIF:2482313","Aburria aburri","Aburria aburri",34
"Abutilon theophrasti",1,1,"Abutilon theophrasti","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","gbif","GBIF:3152614","Abutilon theophrasti","Abutilon theophrasti",35
"Faidherbia albida",1,0,"Acacia albida","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:7751817","Acacia albida","Acacia albida",36
"Senegalia ataxacantha",1,0,"Senegalia ataxacantha","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:7510932","Acacia ataxacantha","Acacia ataxacantha",37
"Acacia baileyana",1,1,"Acacia baileyana","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2981303","Acacia baileyana","Acacia baileyana",38
"Acacia dealbata",1,1,"Acacia dealbata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2979474","Acacia dealbata","Acacia dealbata",39
"Acacia koa",1,1,"Acacia koa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2980514","Acacia koa","Acacia koa",40
"Acacia longifolia",1,1,"Acacia longifolia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2978730","Acacia longifolia","Acacia longifolia",41
"Senegalia macrostachya",1,0,"Senegalia macrostachya","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:7936172","Acacia macrostachya","Acacia macrostachya",42
"Acacia melanoxylon",1,1,"Acacia melanoxylon","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:2979000","Acacia melanoxylon","Acacia melanoxylon",43
"Vachellia nilotica",1,0,"Acacia nilotica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:10702004","Acacia nilotica","Acacia nilotica adansonii",44
"Vachellia nilotica",1,0,"Acacia nilotica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:10702004","Acacia nilotica","Acacia nilotica tomentosa",45
"Vachellia tortilis",1,0,"Vachellia tortilis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:3974700","Acacia raddiana","Acacia raddiana",46
"Senegalia senegal",1,0,"Acacia senegal","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:10839062","Acacia senegal","Acacia senegal",47
"Vachellia seyal",1,0,"Vachellia seyal","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","gbif","GBIF:3974722","Acacia seyal","Acacia seyal",48
"Vachellia sieberiana",1,0,"Acacia sieberiana","Plantae",NA,"Magnoliopsida","Fabales","Fabaceae","itis","ITIS:819747","Acacia sieberiana","Acacia sieberiana",49
"Acaena argentea",1,1,"Acaena argentea","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:5370675","Acaena argentea","Acaena argentea",50
"Acaena magellanica",1,1,"Acaena magellanica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","gbif","GBIF:5370832","Acaena magellanica","Acaena magellanica",51
"Acalles camelus",1,1,"Acalles camelus","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","gbif","GBIF:1211506","Acalles camelus","Acalles camelus",52
"Acalypha californica",1,1,"Acalypha californica","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","gbif","GBIF:3056674","Acalypha californica","Acalypha californica",53
"Acalypha virginica",1,0,"Acalypha virginica","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","gbif","GBIF:3056055","Acalypha virginica","Acalypha virginica",54
"Acamptopappus shockleyi",1,1,"Acamptopappus shockleyi","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3113876","Acamptopappus shockleyi","Acamptopappus shockleyi",55
"Acamptopappus sphaerocephalus",1,1,"Acamptopappus sphaerocephalus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3113874","Acamptopappus sphaerocephalus","Acamptopappus sphaerocephalus",56
"Acamptopappus sphaerocephalus",1,1,"Acamptopappus sphaerocephalus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3113874","Acamptopappus sphaerocephalus","Acamptopappus sphaerocephalus var. hirtellus",57
"Acamptopappus sphaerocephalus",1,1,"Acamptopappus sphaerocephalus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3113874","Acamptopappus sphaerocephalus","Acamptopappus sphaerocephalus var. sphaerocephalus",58
"Acanthagenys rufogularis",1,0,"Acanthagenys rufogularis","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","gbif","GBIF:2487054","Acanthagenys rufogularis","Acanthagenys rufogularis",59
"Acanthaluteres spilomelanurus",1,1,"Acanthaluteres spilomelanurus","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Monacanthidae","gbif","GBIF:2406696","Acanthaluteres spilomelanurus","Acanthaluteres spilomelanurus",60
"Acanthaluteres vittiger",1,1,"Acanthaluteres vittiger","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Monacanthidae","gbif","GBIF:2406702","Acanthaluteres vittiger","Acanthaluteres vittiger",61
"Acanthina punctulata",0,1,"Acanthina punctulata","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","gbif","GBIF:9767120","Acanthina punctulata","Acanthina punctulata",62
"Acanthis flammea",0,1,"Acanthis flammea","Animalia","Chordata","Aves","Passeriformes","Fringillidae","gbif","GBIF:5231630","Acanthis flammea","Acanthis flammea",63
"Acanthis flammea",0,1,"Acanthis flammea","Animalia","Chordata","Aves","Passeriformes","Fringillidae","gbif","GBIF:5231630","Acanthis flammea","Acanthis flammea carduelis flammea)",64
"Acanthiza apicalis",1,0,"Acanthiza apicalis","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","gbif","GBIF:7341406","Acanthiza apicalis","Acanthiza apicalis",65
"Acanthiza chrysorrhoa",1,0,"Acanthiza chrysorrhoa","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","gbif","GBIF:5230400","Acanthiza chrysorrhoa","Acanthiza chrysorrhoa",66
"Acanthiza ewingii",1,0,"Acanthiza ewingii","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","gbif","GBIF:5230404","Acanthiza ewingii","Acanthiza ewingii",67
"Acanthiza inornata",1,0,"Acanthiza inornata","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","gbif","GBIF:5230408","Acanthiza inornata","Acanthiza inornata",68
"Acanthiza iredalei",1,0,"Acanthiza iredalei","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","gbif","GBIF:5230405","Acanthiza iredalei","Acanthiza iredalei",69
"Acanthiza katherina",1,0,"Acanthiza katherina","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","gbif","GBIF:5230409","Acanthiza katherina","Acanthiza katherina",70
"Acanthiza lineata",1,0,"Acanthiza lineata","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","gbif","GBIF:5230401","Acanthiza lineata","Acanthiza lineata",71
"Acanthiza nana",1,0,"Acanthiza nana","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","gbif","GBIF:5230410","Acanthiza nana","Acanthiza nana",72
"Acanthiza pusilla",1,0,"Acanthiza pusilla","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","gbif","GBIF:5230402","Acanthiza pusilla","Acanthiza pusilla",73
"Acanthiza reguloides",1,0,"Acanthiza reguloides","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","gbif","GBIF:5230407","Acanthiza reguloides","Acanthiza reguloides",74
"Acanthiza robustirostris",1,0,"Acanthiza robustirostris","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","gbif","GBIF:5230411","Acanthiza robustirostris","Acanthiza robustirostris",75
"Acanthiza uropygialis",1,0,"Acanthiza uropygialis","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","gbif","GBIF:5230403","Acanthiza uropygialis","Acanthiza uropygialis",76
"Acanthochitona achates",1,1,"Acanthochitona achates","Animalia","Mollusca","Polyplacophora","Chitonida","Acanthochitonidae","gbif","GBIF:2305930","Acanthochitona achates","Acanthochitona achates",77
"Acanthodactylus erythrurus",1,1,"Acanthodactylus erythrurus","Animalia","Chordata","Reptilia","Squamata","Lacertidae","gbif","GBIF:5226733","Acanthodactylus erythrurus","Acanthodactylus erythrurus",78
"Acanthomintha ilicifolia",1,1,"Acanthomintha ilicifolia","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","gbif","GBIF:2927083","Acanthomintha ilicifolia","Acanthomintha ilicifolia",79
"Acanthomintha lanceolata",1,1,"Acanthomintha lanceolata","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","gbif","GBIF:2927082","Acanthomintha lanceolata","Acanthomintha lanceolata",80
"Acanthopleura echinata",1,1,"Acanthopleura echinata","Animalia","Mollusca","Polyplacophora","Chitonida","Chitonidae","gbif","GBIF:5193731","Acanthopleura echinata","Acanthopleura echinata",81
"Liolophura japonica",1,1,"Liolophura japonica","Animalia","Mollusca","Polyplacophora","Chitonida","Chitonidae","gbif","GBIF:2306237","Acanthopleura japonica","Acanthopleura japonica",82
"Acanthorhynchus superciliosus",1,0,"Acanthorhynchus superciliosus","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","gbif","GBIF:5230471","Acanthorhynchus superciliosus","Acanthorhynchus superciliosus",83
"Acanthorhynchus tenuirostris",1,0,"Acanthorhynchus tenuirostris","Animalia","Chordata","Aves","Passeriformes","Meliphagidae","gbif","GBIF:5230466","Acanthorhynchus tenuirostris","Acanthorhynchus tenuirostris",84
"Acanthornis magnus",1,0,"Acanthornis magna","Animalia","Chordata","Aves","Passeriformes","Acanthizidae","gbif","GBIF:7341473","Acanthornis magnus","Acanthornis magnus",85
"Acanthoscyphus parishii",1,1,"Acanthoscyphus parishii","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","gbif","GBIF:6391746","Acanthoscyphus parishii","Acanthoscyphus parishii var. goodmaniana",86
"Acanthosoma haemorrhoidale",1,1,"Acanthosoma haemorrhoidale","Animalia","Arthropoda","Insecta","Hemiptera","Acanthosomatidae","gbif","GBIF:5866246","Acanthosoma haemorrhoidale","Acanthosoma haemorrhoidale",87
"Acanthurus xanthopterus",0,1,"Acanthurus xanthopterus","Animalia","Chordata","Actinopterygii","Perciformes","Acanthuridae","gbif","GBIF:5209252","Acanthurus xanthopterus","Acanthurus xanthopterus",88
"Acasis viretata",1,1,"Acasis viretata","Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","gbif","GBIF:7681733","Acasis viretata","Acasis viretata",89
"Accipiter badius",0,1,"Accipiter badius","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480610","Accipiter badius","Accipiter badius",90
"Accipiter cooperii",1,1,"Accipiter cooperii","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480621","Accipiter cooperii","Accipiter cooperii",91
"Accipiter gentilis",1,1,"Accipiter gentilis","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480589","Accipiter gentilis","Accipiter gentilis",92
"Accipiter melanoleucus",0,1,"Accipiter melanoleucus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480631","Accipiter melanoleucus","Accipiter melanoleucus",93
"Accipiter meyerianus",1,1,"Accipiter meyerianus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480602","Accipiter meyerianus","Accipiter meyerianus",94
"Accipiter minullus",0,1,"Accipiter minullus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480594","Accipiter minullus","Accipiter minullus",95
"Accipiter nisus",1,1,"Accipiter nisus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480637","Accipiter nisus","Accipiter nisus",96
"Accipiter novaehollandiae",1,0,"Accipiter novaehollandiae","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480629","Accipiter novaehollandiae","Accipiter novaehollandiae",97
"Accipiter ovampensis",0,1,"Accipiter ovampensis","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480587","Accipiter ovampensis","Accipiter ovampensis",98
"Accipiter poliocephalus",1,1,"Accipiter poliocephalus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480607","Accipiter poliocephalus","Accipiter poliocephalus",99
"Accipiter rufiventris",0,1,"Accipiter rufiventris","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480609","Accipiter rufiventris","Accipiter rufiventris",100
"Accipiter striatus",1,1,"Accipiter striatus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:9740253","Accipiter striatus","Accipiter striatus",101
"Accipiter tachiro",0,1,"Accipiter tachiro","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480635","Accipiter tachiro","Accipiter tachiro",102
"Accipiter trivirgatus",1,1,"Accipiter trivirgatus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480603","Accipiter trivirgatus","Accipiter trivirgatus",103
"Accipiter virgatus",0,1,"Accipiter virgatus","Animalia","Chordata","Aves","Accipitriformes","Accipitridae","gbif","GBIF:2480595","Accipiter virgatus","Accipiter virgatus",104
"Acer saccharum",1,0,"Acer barbatum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189871","Acer barbatum","Acer barbatum",105
"Acer campestre",1,1,"Acer campestre","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189863","Acer campestre","Acer campestre",106
"Acer circinatum",1,1,"Acer circinatum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189884","Acer circinatum","Acer circinatum",107
"Acer glabrum",1,1,"Acer glabrum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189864","Acer glabrum","Acer glabrum",108
"Acer glabrum",1,1,"Acer glabrum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189864","Acer glabrum","Acer glabrum var. diffusum",109
"Acer glabrum",1,1,"Acer glabrum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189864","Acer glabrum","Acer glabrum var. glabrum",110
"Acer macrophyllum",1,1,"Acer macrophyllum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189835","Acer macrophyllum","Acer macrophyllum",111
"Acer monspessulanum",1,1,"Acer monspessulanum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:7262958","Acer monspessulanum","Acer monspessulanum",112
"Acer monspessulanum",1,1,"Acer monspessulanum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:7262958","Acer monspessulanus","Acer monspessulanus",113
"Acer negundo",1,1,"Acer negundo","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189866","Acer negundo","Acer negundo",114
"Acer saccharum",1,0,"Acer nigrum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189854","Acer nigrum","Acer nigrum",115
"Acer opalus",1,1,"Acer opalus","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:7100278","Acer opalus","Acer opalus",116
"Acer pensylvanicum",1,0,"Acer pensylvanicum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189836","Acer pennsylvanicum","Acer pennsylvanicum",117
"Acer pensylvanicum",1,1,"Acer pensylvanicum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189836","Acer pensylvanicum","Acer pensylvanicum",118
"Acer platanoides",1,1,"Acer platanoides","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189846","Acer platanoides","Acer platanoides",119
"Acer pseudoplatanus",1,1,"Acer pseudoplatanus","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189870","Acer pseudoplatanus","Acer pseudoplatanus",120
"Acer rubrum",1,1,"Acer rubrum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189883","Acer rubrum","Acer rubrum",121
"Acer saccharinum",1,1,"Acer saccharinum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189837","Acer saccharinum","Acer saccharinum",122
"Acer saccharum",1,1,"Acer saccharum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189859","Acer saccharum","Acer saccharum",123
"Acer spicatum",1,1,"Acer spicatum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","gbif","GBIF:3189848","Acer spicatum","Acer spicatum",124
"Arctia alpina",1,1,"Acerbia alpina","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","gbif","GBIF:5115794","Acerbia alpina","Acerbia alpina",125
"Parasteatoda lunata",0,1,"Parasteatoda lunata","Animalia","Arthropoda","Arachnida","Araneae","Theridiidae","gbif","GBIF:4550746","Achaearanea lunata","Achaearanea lunata",126
"Cecropterus lyciades",0,1,"Achalarus lyciades","Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","gbif","GBIF:1950349","Achalarus lyciades","Achalarus lyciades",127
"Achelous spinicarpus",1,1,"Achelous spinicarpus","Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","gbif","GBIF:5974595","Achelous spinicarpus","Achelous spinicarpus",128
"Achelous spinimanus",1,1,"Achelous spinimanus","Animalia","Arthropoda","Malacostraca","Decapoda","Portunidae","gbif","GBIF:5863626","Achelous spinimanus","Achelous spinimanus",129
"Acherontia atropos",1,1,"Acherontia atropos","Animalia","Arthropoda","Insecta","Lepidoptera","Sphingidae","gbif","GBIF:1861510","Acherontia atropos","Acherontia atropos",130
"Acheta domesticus",1,1,"Acheta domesticus","Animalia","Arthropoda","Insecta","Orthoptera","Gryllidae","gbif","GBIF:1718308","Acheta domesticus","Acheta domesticus",131
"Achillea atrata",1,1,"Achillea atrata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3120203","Achillea atrata","Achillea atrata",132
"Achillea clavennae",1,0,"Achillea clavennae","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3120117","Achillea clavenae","Achillea clavenae",133
"Achillea clavennae",1,1,"Achillea clavennae","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3120117","Achillea clavennae","Achillea clavennae",134
"Achillea distans",1,0,"Achillea distans","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3120264","Achillea distans","Achillea distans",135
"Achillea fragrantissima",0,1,"Achillea fragrantissima","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3120394","Achillea fragrantissima","Achillea fragrantissima",136
"Achillea millefolium",1,1,"Achillea millefolium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3120060","Achillea millefolium","Achillea millefolium",137
"Achillea erba-rotta",1,1,"Achillea erba-rotta","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:9536147","Achillea moscata","Achillea moscata",138
"Achillea moschata",1,1,"Achillea erba-rotta","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:9536147","Achillea moschata","Achillea moschata",139
"Achillea nana",1,1,"Achillea nana","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:8714852","Achillea nana","Achillea nana",140
"Achillea ptarmica",1,1,"Achillea ptarmica","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3120333","Achillea ptarmica","Achillea ptarmica",141
"Achillea virescens",1,0,"Achillea virescens","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","gbif","GBIF:3120197","Achillea virescens","Achillea virescens",142
"Achlya flavicornis",1,1,"Achlya flavicornis","Animalia","Arthropoda","Insecta","Lepidoptera","Drepanidae","gbif","GBIF:3276352","Achlya flavicornis","Achlya flavicornis",143
"Achlys triphylla",1,1,"Achlys triphylla","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae","gbif","GBIF:5371714","Achlys triphylla","Achlys triphylla subsp. triphylla",144
"Achnatherum calamagrostis",1,0,"Achnatherum calamagrostis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:4142326","Achnatherum calamagrostis","Achnatherum calamagrostis",145
"Pappostipa speciosa",0,1,"Pappostipa speciosa","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","gbif","GBIF:6069181","Achnatherum speciosum","Achnatherum speciosum",146
"Achoerodus viridis",0,1,"Achoerodus viridis","Animalia","Chordata","Actinopterygii","Perciformes","Labridae","gbif","GBIF:2383154","Achoerodus viridian","Achoerodus viridian",147
"Manilkara zapota",1,0,"Manilkara zapota","Plantae","Tracheophyta","Magnoliopsida","Ericales","Sapotaceae","gbif","GBIF:2885158","Achras sapota","Achras sapota",148
