"Name","Article","DOI","LatCentDeg","LonCentDeg","Areakm2","LatExtentk","EleExtentm","Eleminm","Elemaxm","Elemeanm"
"A31_P1","Speed_al_2012_JVS","10.1111/j.1654-1103.2012.01391.x",7.95752,60.69735,12.23,2.43,385.55,952.56,1338.11,1333.31
"A32_P1","Amano_al_2014_PRSB","0.1098/rspb.2013.3017",-2.66429,54.14455,231509.29,1088.73,1749,0,1749,151.91
"A33_P1","Auer_King_2014_GEB","10.1111/geb.12174",-109.22232,41.5421,5291414.33,2939.61,5044.43,0,5044.43,881.79
"A34_P1","Bassler_al_2013_PLoSONE","10.1371/journal.pone.0065842",13.46224,48.91963,59.85,10.33,747.67,622.19,1369.86,1113.49
"A35_P1","Cannone_Pignatti_2014_CC","10.1007/s10584-014-1065-8",10.43652,46.53029,29.78,5.18,1237.5,1932.63,3170.14,2793.61
"A36_P1","VanDerWal_al_2012_NC","10.1038/nclimate1688",134.48664,-25.73872,7685554.25,3871.59,3565.99,0,3565.99,278.77
"A37_P1","Freeman_Freeman_2014_PNAS","10.1073/pnas.1318190111",145.02178,-6.20738,4920.66,73.02,3509.01,515.95,4024.96,1866.58
"A37_P2","Freeman_Freeman_2014_PNAS","10.1073/pnas.1318190111",145.97226,-4.64244,430.78,29.16,1706.03,0,1706.03,365.27
"A38_P1","Jimenez-Alfaro_al_2014_JVS","10.1111/jvs.12198",-3.93104,40.86124,939.67,40.44,1523.25,846.35,2369.6,992.93
"A39_P1","Kwon_al_2014_CC","10.1007/s10584-014-1212-2",127.8011,36.2944,104871.6,490.87,1819.31,0,1819.31,525.71
"A4_P1","Asher_al_2011_JIC","10.1007/s10841-010-9346-7",-4.04421,53.95526,315733.23,1088.73,1749,0,1749,143.26
"A40_P1","Fei_al_2017_ScAdv","10.1126/sciadv.1603055",-84.86443,38.71829,3101496.03,2669.06,2668.91,0,2668.91,1200.68
"A41_P1","Lenoir_al_2008_Science","10.1126/science.1156831",4.38461,44.98502,168724.87,845.01,4686.09,0,4686.09,512.73
"A42_P1","Kelly_Goulden_2008_PNAS","10.1073/pnas.0802891105",-116.74838,33.76702,1319.96,53.73,3093.7,122.23,3215.93,518.61
"A43_P1","Kurihara_al_2011_MB","10.1007/s00227-011-1717-4",137.41246,37.38784,127476.09,2311.41,NA,NA,NA,NA
"A44_P1","Lima_al_2007_GCB","10.1111/j.1365-2486.2007.01451.x",-8.85888,38.52049,16215.92,582.53,NA,NA,NA,NA
