PopId;RefID;Year;TaxaClass;Family;Genus;Species;G_s;Common;Continent;Country;Location;n;FST;GlobalFST;PopsCombo;GroupedCoord;N.Population;Ho;He;MNA;AR;Lat;Long;Msats;Lat_extent;Lat_max_DD;Lat_min_DD;Sum_areaM;Sum_areaKM;;;;;;;;;;;;;;
24;R4;2010;Freshwater;Acipenseridae;Acipenser;brevirostrum;Acipenser_brevirostrum;Shortnose sturgeon;NAm;USA;Merrimack;22;NA;NA;1;;17;NA;0.163;NA;NA;42.818498;-70.875745;11;17;46;29;1.716E+11;171599976.8;;;;;;;;;;;;;;
25;R4;2010;Freshwater;Acipenseridae;Acipenser;brevirostrum;Acipenser_brevirostrum;Shortnose sturgeon;NAm;USA;Penobscot;39;NA;NA;1;;17;NA;0.182;NA;NA;44.52;-68.8;11;17;46;29;1.716E+11;171599976.8;;;;;;;;;;;;;;
26;R4;2010;Freshwater;Acipenseridae;Acipenser;brevirostrum;Acipenser_brevirostrum;Shortnose sturgeon;NAm;CAN;Saint John River;25;NA;NA;1;;17;NA;0.179;NA;NA;45.36198;-66.2266;11;17;46;29;1.716E+11;171599976.8;;;;;;;;;;;;;;
27;R4;2010;Freshwater;Acipenseridae;Acipenser;brevirostrum;Acipenser_brevirostrum;Shortnose sturgeon;NAm;USA;Santee-Cooper;42;NA;NA;1;;17;NA;0.151;NA;NA;33.14634;-79.309592;11;17;46;29;1.716E+11;171599976.8;;;;;;;;;;;;;;
28;R4;2010;Freshwater;Acipenseridae;Acipenser;brevirostrum;Acipenser_brevirostrum;Shortnose sturgeon;NAm;USA;Savannah;34;NA;NA;1;;17;NA;0.158;NA;NA;32.089941;-81.021193;11;17;46;29;1.716E+11;171599976.8;;;;;;;;;;;;;;
29;R4;2010;Freshwater;Acipenseridae;Acipenser;brevirostrum;Acipenser_brevirostrum;Shortnose sturgeon;NAm;USA;Winyah Bay;47;NA;NA;1;;17;NA;0.151;NA;NA;33.318523;-79.283772;11;17;46;29;1.716E+11;171599976.8;;;;;;;;;;;;;;
30;R5;2014;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake Sturgeon;NAm;CAN;Kenogami River;104;0.083;Population;1;;2;0.586;NA;NA;4.19;51.066871;-84.573748;14;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
31;R5;2014;Freshwater;Acipenseridae;Acipenser;fulvescens;Acipenser_fulvescens;Lake Sturgeon;NAm;CAN;Ottawa River;50;0.083;Population;1;;2;0.482;NA;NA;3.52;45.5324176;-76.597666;14;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
32;R6;2009;Freshwater;Acipenseridae;Acipenser;medirostris;Acipenser_medirostris;Green Sturgeon;NAm;USA;Columbia River;94;0.024;Population;1;;7;0.542;0.625;10.4;NA;46.148408;-123.294192;10;23;60;36;1.48941E+11;148941387;;;;;;;;;;;;;;
33;R6;2009;Freshwater;Acipenseridae;Acipenser;medirostris;Acipenser_medirostris;Green Sturgeon;NAm;USA;Grays Harbor;82;0.015;Population;1;;7;0.561;0.686;11.6;NA;46.912191;-123.304916;10;23;60;36;1.48941E+11;148941387;;;;;;;;;;;;;;
34;R6;2009;Freshwater;Acipenseridae;Acipenser;medirostris;Acipenser_medirostris;Green Sturgeon;NAm;USA;Klamath River;35;0.034;Population;1;;7;0.624;0.718;9;NA;41.823537;-122.967691;10;23;60;36;1.48941E+11;148941387;;;;;;;;;;;;;;
35;R6;2009;Freshwater;Acipenseridae;Acipenser;medirostris;Acipenser_medirostris;Green Sturgeon;NAm;USA;Rogue River;34;0.032;Population;1;;7;0.615;0.723;8.6;NA;42.438321;-122.905805;10;23;60;36;1.48941E+11;148941387;;;;;;;;;;;;;;
36;R6;2009;Freshwater;Acipenseridae;Acipenser;medirostris;Acipenser_medirostris;Green Sturgeon;NAm;USA;Sacramento River-San Pablo Bay;148;0.036;Population;2;Middle;7;0.54;0.63;8.9;NA;38.066571;-121.787786;10;23;60;36;1.48941E+11;148941387;;;;;;;;;;;;;;
37;R6;2009;Freshwater;Acipenseridae;Acipenser;medirostris;Acipenser_medirostris;Green Sturgeon;NAm;USA;Willapa Bay;98;0.023;Population;1;;7;0.56;0.64;11.2;NA;46.529923;-123.97094;10;23;60;36;1.48941E+11;148941387;;;;;;;;;;;;;;
38;R6;2009;Freshwater;Acipenseridae;Acipenser;medirostris;Acipenser_medirostris;Green Sturgeon;NAm;USA;Winchester Bay;22;0.022;Population;1;;7;0.614;0.726;8.8;NA;43.689358;-124.178125;10;23;60;36;1.48941E+11;148941387;;;;;;;;;;;;;;
39;R7;2001;Freshwater;Acipenseridae;Acipenser;oxyrinchus;Acipenser_oxyrinchus;Atlantic Sturgeon;NAm;USA;Delaware River;42;0.105;Population;1;;6;0.626;NA;7.4;NA;39.614963;-75.578041;7;26;54;27;1.65226E+12;1652255132;;;;;;;;;;;;;;
40;R7 & R11;2001;Freshwater;Acipenseridae;Acipenser;oxyrinchus;Acipenser_oxyrinchus;Atlantic Sturgeon;NAm;USA;Albermarle Sound;34;0.185;Population;1;;6;0.538;NA;9.7;NA;36.019189;-76.273956;7;26;54;27;1.65226E+12;1652255132;;;;;;;;;;;;;;
