PopId;RefID;Year;TaxaClass;Family;Genus;Species;G_s;Common;Continent;Country;Location;n;FST;GlobalFST;PopsCombo;GroupedCoord;N.Population;Ho;He;MNA;AR;Lat;Long;Msats;Lat_extent;Lat_max_DD;Lat_min_DD;Sum_areaM;Sum_areaKM;;;;;;;;;;;;;;
1194;R145;2008;Freshwater;Ictaluridae;Ictalurus;punctatus;Ictalurus_punctatus;Channel Catfish;NAm;USA;Marion-Kansas;25;0.2043;Global;1;;18;NA;NA;6.88;3.81;38.347366;-97.017865;8;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1195;R145;2008;Freshwater;Ictaluridae;Ictalurus;punctatus;Ictalurus_punctatus;Channel Catfish;NAm;USA;Marion-Select;11;0.2043;Global;1;;18;NA;NA;4;2.96;38.342545;-97.015891;8;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1196;R145;2008;Freshwater;Ictaluridae;Ictalurus;furcatus;Ictalurus_furcatus;Blue Catfish;NAm;USA;Rio Grande;11;0.2371;Global;1;;18;NA;NA;2.88;2.75;30.198221;-104.697603;8;21;47;26;62351542311;62351542.31;;;;;;;;;;;;;;
1197;R145;2008;Freshwater;Ictaluridae;Ictalurus;punctatus;Ictalurus_punctatus;Channel Catfish;NAm;USA;Tishmingo;22;0.2043;Global;1;;18;NA;NA;5.75;3.7;34.233957;-96.68205;8;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1198;R145;2008;Freshwater;Ictaluridae;Ictalurus;punctatus;Ictalurus_punctatus;Channel Catfish;NAm;USA;Tishmingo-Auburn;5;0.2043;Global;1;;18;NA;NA;4;3.71;34.189095;-96.643284;8;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1199;R144;2012;Freshwater;Ictaluridae;Noturus;baileyi;Noturus_baileyi;Smoky madtom;NAm;USA;Abrams Creek;23;0.06;Population;1;;5;0.177;0.176;NA;2.082;35.570147;-83.984964;9;1;36;35;3164156791;3164156.791;;;;;;;;;;;;;;
1200;R144;2012;Freshwater;Ictaluridae;Noturus;baileyi;Noturus_baileyi;Smoky madtom;NAm;USA;Citico Creek;64;0.06;Population;1;;5;0.161;0.194;NA;2.585;35.528901;-84.103548;9;1;36;35;3164156791;3164156.791;;;;;;;;;;;;;;
1201;R144;2012;Freshwater;Ictaluridae;Noturus;flavipinnis;Noturus_flavipinnis;Yellowfin madtom;NAm;USA;Citico Creek + Abrams Creek;59;0.018;Population;2;Middle;5;0.108;0.109;NA;1.507;35.549524;-84.044256;9;2;37;35;30351347069;30351347.07;;;;;;;;;;;;;;
1202;R146;2011;Freshwater;incertae sedis;Cornohynchus;conirostris;Cornohynchus_conirostris;Catfish;SAm;BRA;Sao Francisco River ;25;NA;NA;1;;1;0.796;0.775;10.538;NA;-18.136044;-45.244722;13;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1203;R60;2004;Freshwater;Lebiasinidae;Nannostomus;unifasciatus;Nannostomus_unifasciatus;One?lined pencilfish ;SAm;BRA;Tea; Cuiuni and Igarape Arixana rivers;30;NA;NA;3;Middle;2;0.613;0.644;9.667;NA;-0.509184;-65.138447;9;NA;NA;NA;NA;NA;;;;;;;;;;;;;
1204;R147;2015;Freshwater;Lepisosteidae;Lepisosteus;oculatus;Lepisosteus_oculatus;Spotted gar;NAm;USA;Lac des Allemands;39;0.1242;Population;1;;6;0.555;0.604;NA;6.875;29.9151;-90.5728;8;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1205;R147;2015;Freshwater;Lepisosteidae;Lepisosteus;oculatus;Lepisosteus_oculatus;Spotted gar;NAm;USA;Loon Lake/Lake Pleasant;8;0.171;Population;1;;6;0.331;0.335;NA;2.375;41.8689;-84.9427;8;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1207;R147;2015;Freshwater;Lepisosteidae;Lepisosteus;oculatus;Lepisosteus_oculatus;Spotted gar;NAm;USA;Pascagoula River;10;0.0906;Population;1;;6;0.608;0.669;NA;5.125;30.7749;-88.6888;8;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1208;R147;2015;Freshwater;Lepisosteidae;Lepisosteus;oculatus;Lepisosteus_oculatus;Spotted gar;NAm;USA;Pt. Pelee;92;0.1833;Population;1;;6;0.49;0.574;NA;4;41.9655;-82.5094;8;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1209;R147;2015;Freshwater;Lepisosteidae;Lepisosteus;oculatus;Lepisosteus_oculatus;Spotted gar;NAm;CAN;Rondeau bay+Long Point Bay + Mingo Creek +Townsend Lake;335;0.1112;Population;4;One Pop;6;0.492;0.6;NA;5.563;42.2873;-81.8978;8;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1210;R148;2015;Freshwater;Loricariidae;Hypostomus;ancistroides;Hypostomus_ancistroides;Armoured catfsh;SAm;BRA;Laranjinha River;30;NA;NA;1;;1;0.559;0.587;7.62;NA;-23.03138889;-50.4475;13;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1211;R149;2010;Freshwater;Loricariidae;Hypostomus;gymnorhynchus;Hypostomus_gymnorhynchus;Armored catfsh;SAm;BRA;Caiapo River; in Northwest Goias State;14;NA;NA;1;;1;0.107;0.238;2.4;NA;-16.31479167;-51.467675;14;NA;NA;NA;NA;NA;;;;;;;;;;;;;
1212;R150;2008;Freshwater;Lotidae;Lota;lota;Lota_lota;Burbot;NAm;USA; Sakakawea Lake ;28;0.164;Population;1;;9;NA;0.75;10.56;NA;47.61666;-102.2333;9;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1213;R150;2008;Freshwater;Lotidae;Lota;lota;Lota_lota;Burbot;NAm;CAN;Child's Lake;23;0.1876;Population;1;;9;NA;0.68;7.22;NA;51.7;-101.18333;9;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1214;R150;2008;Freshwater;Lotidae;Lota;lota;Lota_lota;Burbot;NAm;CAN;Goat River;5;0.2832;Population;1;;9;NA;0.35;2.67;NA;53.51666;-120.5833;9;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1215;R150;2008;Freshwater;Lotidae;Lota;lota;Lota_lota;Burbot;NAm;CAN;Kootenai River;6;0.2518;Population;1;;9;NA;0.45;3.11;NA;49;-116.5;9;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1216;R150;2008;Freshwater;Lotidae;Lota;lota;Lota_lota;Burbot;NAm;CAN;Lake Laberge;16;0.3247;Population;1;;9;NA;0.55;5.22;NA;61.18333;-135.18333;9;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1217;R150;2008;Freshwater;Lotidae;Lota;lota;Lota_lota;Burbot;NAm;USA;Leech Lake;30;0.1875;Population;1;;9;NA;0.67;9.22;NA;47.15;-94.41666;9;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1218;R150;2008;Freshwater;Lotidae;Lota;lota;Lota_lota;Burbot;NAm;USA;Oneida Lake;33;0.2294;Population;1;;9;NA;0.69;8.78;NA;43.1666;-75.9166;9;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1219;R150;2008;Freshwater;Lotidae;Lota;lota;Lota_lota;Burbot;NAm;USA;Tolsona Lake;96;0.3232;Population;1;;9;NA;0.59;6;NA;62.1;-146.0666;9;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1220;R150;2008;Freshwater;Lotidae;Lota;lota;Lota_lota;Burbot;NAm;CAN;Winnipeg Beach;20;0.1785;Population;1;;9;NA;0.7;10;NA;50.46666;-96.61666;9;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1221;R151;2012;Freshwater;Lotidae;Lota;lota;Lota_lota;Burbot;NAm;CAN;Aklavik;106;0.1494;Population;1;;9;0.629;0.676;13.4;4.09;68.22667;-134.99;11;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1222;R151;2012;Freshwater;Lotidae;Lota;lota;Lota_lota;Burbot;NAm;CAN;Colin Lake;14;0.187;Population;1;;9;0.603;0.563;5.7;3.48;59.55;-110.116666;11;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1223;R151;2012;Freshwater;Lotidae;Lota;lota;Lota_lota;Burbot;NAm;CAN;Fort McPherson;124;0.1439;Population;1;;9;0.641;0.676;13.6;4.17;67.65333;-134.75833;11;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1224;R151;2012;Freshwater;Lotidae;Lota;lota;Lota_lota;Burbot;NAm;CAN;Forth Smith;15;0.1846;Population;1;;9;0.718;0.69;7.7;4.36;60;-111.83333;11;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1225;R151;2012;Freshwater;Lotidae;Lota;lota;Lota_lota;Burbot;NAm;CAN;Great Slave Lake;103;0.0906;Population;1;;9;0.744;0.743;11.9;4.848;62.4333;-114.383;11;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1226;R151;2012;Freshwater;Lotidae;Lota;lota;Lota_lota;Burbot;NAm;CAN;Inuvik;90;0.1414;Population;1;;9;0.637;0.692;13.6;4.12;68.39;-133.88;11;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1227;R151;2012;Freshwater;Lotidae;Lota;lota;Lota_lota;Burbot;NAm;CAN;Lac Beauvert;11;0.1846;Population;1;;9;0.591;0.566;4.3;3.21;52.916666;-118;11;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1228;R151;2012;Freshwater;Lotidae;Lota;lota;Lota_lota;Burbot;NAm;CAN;Lambert Creek;9;0.1427;Population;1;;9;0.704;0.665;5.2;3.82;53.5;-117;11;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1229;R151;2012;Freshwater;Lotidae;Lota;lota;Lota_lota;Burbot;NAm;CAN;Tsiigehtchic;26;0.0717;Population;1;;9;0.667;0.656;4.4;4.44;67.445;-133.755;11;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1230;R152;2013;Anadromous;Moronidae;Morone;saxatilis;Morone_saxatilis;Striped Bass;NAm;USA;Chesapeake Bay;569;0.0204;Population;1;;5;0.757;0.766;15.071;11.629;39.386391;-76.099762;14;21;48;27;68338082455;68338082.46;;;;;;;;;;;;;;
1231;R152;2013;Anadromous;Moronidae;Morone;saxatilis;Morone_saxatilis;Striped Bass;NAm;USA;Delaware river ;104;0.0216;Population;1;;5;0.771;0.759;11.429;11.429;39.845007;-75.280091;14;21;48;27;68338082455;68338082.46;;;;;;;;;;;;;;
1232;R152;2013;Anadromous;Moronidae;Morone;saxatilis;Morone_saxatilis;Striped Bass;NAm;USA;Hudson River;193;0.0239;Population;1;;5;0.775;0.775;12.786;11.771;41.229569;-73.933514;14;21;48;27;68338082455;68338082.46;;;;;;;;;;;;;;
1233;R152;2013;Anadromous;Moronidae;Morone;saxatilis;Morone_saxatilis;Striped Bass;NAm;USA;North Carolina;142;0.0228;Population;1;;5;0.76;0.756;12.143;11.536;36.077268;-76.70753;14;21;48;27;68338082455;68338082.46;;;;;;;;;;;;;;
1234;R152;2013;Anadromous;Moronidae;Morone;saxatilis;Morone_saxatilis;Striped Bass;NAm;USA;South Carolina;107;0.0695;Population;1;;5;0.701;0.702;7.929;8.138;33.066974;-79.924078;14;21;48;27;68338082455;68338082.46;;;;;;;;;;;;;;
1235;R153;2013;Brackish;Moronidae;Morone;americana;Morone_americana;White Perch;NAm;USA;Hudson River; Coxsackie; NY+Lake Champlain; Bulwagga Bay+Lake Champlain; Mouth of the Saranac River+Lake Champlain; Missisquoi Bay;97;0.0347;Population;4;One Pop - Bigger N;2;0.429;0.434;3.667;NA;42.3545158;-73.795252;3;13;49;33;8.32492E+11;832491534.1;;;;;;;;;
1236;R153;2013;Brackish;Moronidae;Morone;americana;Morone_americana;White Perch;NAm;CAN;St. Lawrence River; Mouth or Richelieu River;23;0.0893;Population;1;;2;0.549;0.569;3.667;NA;46.3895698;-72.446594;3;13;49;33;8.32492E+11;832491534.1;;;;;;;;;;;;;
1237;R154 & R808;2008;Anadromous;Osmeridae;Osmerus;mordax;Osmerus_mordax;Rainbow smelt;NAm;CAN;Biscay Bay River;187;0.103;Population;1;;19;0.62;0.638;9;NA;46.781273;-53.280049;11;30;71;40;5790911073;5790911.073;;;;;;;;;;;;;;
1238;R154 & R808;2008;Anadromous;Osmeridae;Osmerus;mordax;Osmerus_mordax;Rainbow smelt;NAm;CAN;Chuff Brook ;93;0.1557;Population;1;;19;0.632;0.686;11.13;NA;48.407497;-54.122624;11;30;71;40;5790911073;5790911.073;;;;;;;;;;;;;;
1239;R154 & R808;2008;Anadromous;Osmeridae;Osmerus;mordax;Osmerus_mordax;Rainbow smelt;NAm;CAN;Conne River ;94;0.1288;Population;1;;19;0.599;0.618;11.13;NA;47.882514;-55.725139;11;30;71;40;5790911073;5790911.073;;;;;;;;;;;;;;
1240;R154 & R808;2008;Anadromous;Osmeridae;Osmerus;mordax;Osmerus_mordax;Rainbow smelt;NAm;CAN;Deer Pond Brook ;41;0.0841;Population;1;;19;0.606;0.601;8.88;NA;46.817818;-53.570729;11;30;71;40;5790911073;5790911.073;;;;;;;;;;;;;;
1241;R154 & R808;2008;Anadromous;Osmeridae;Osmerus;mordax;Osmerus_mordax;Rainbow smelt;NAm;CAN;Gambo River ;160;0.0986;Population;1;;19;0.575;0.661;11;NA;48.740061;-54.230919;11;30;71;40;5790911073;5790911.073;;;;;;;;;;;;;;
1242;R154 & R808;2008;Anadromous;Osmeridae;Osmerus;mordax;Osmerus_mordax;Rainbow smelt;NAm;CAN;Garnish River ;74;0.0958;Population;1;;19;0.719;0.775;11.38;NA;47.235389;-55.362032;11;30;71;40;5790911073;5790911.073;;;;;;;;;;;;;;
1243;R154 & R808;2008;Anadromous;Osmeridae;Osmerus;mordax;Osmerus_mordax;Rainbow smelt;NAm;CAN;Holyrood Pond Brook ;188;0.0767;Population;1;;19;0.616;0.649;10.63;NA;46.851712;-53.578246;11;30;71;40;5790911073;5790911.073;;;;;;;;;;;;;;
1244;R154 & R808;2008;Anadromous;Osmeridae;Osmerus;mordax;Osmerus_mordax;Rainbow smelt;NAm;CAN;Little River ;94;0.1276;Population;1;;19;0.618;0.625;10.13;NA;47.953422;-55.779394;11;30;71;40;5790911073;5790911.073;;;;;;;;;;;;;;
1245;R154 & R808;2008;Anadromous;Osmeridae;Osmerus;mordax;Osmerus_mordax;Rainbow smelt;NAm;CAN;Long Harbour Brook ;79;0.1385;Population;1;;19;0.596;0.592;7.75;NA;47.425578;-53.826413;11;30;71;40;5790911073;5790911.073;;;;;;;;;;;;;;
1246;R154 & R808;2008;Anadromous;Osmeridae;Osmerus;mordax;Osmerus_mordax;Rainbow smelt;NAm;CAN;Mary's Harbour ;55;0.1312;Population;1;;19;0.583;0.604;8.63;NA;52.305495;-55.801424;11;30;71;40;5790911073;5790911.073;;;;;;;;;;;;;;
1247;R154 & R808;2008;Anadromous;Osmeridae;Osmerus;mordax;Osmerus_mordax;Rainbow smelt;NAm;CAN;North Harbour River ;80;0.1012;Population;1;;19;0.602;0.639;8.75;NA;47.836438;-54.086708;11;30;71;40;5790911073;5790911.073;;;;;;;;;;;;;;
1248;R154 & R808;2008;Anadromous;Osmeridae;Osmerus;mordax;Osmerus_mordax;Rainbow smelt;NAm;CAN;Pathend Brook ;94;0.0778;Population;1;;19;0.646;0.648;10.25;NA;46.975698;-53.401902;11;30;71;40;5790911073;5790911.073;;;;;;;;;;;;;;
1249;R154 & R808;2008;Anadromous;Osmeridae;Osmerus;mordax;Osmerus_mordax;Rainbow smelt;NAm;CAN;Pistolet Bay ;76;0.0822;Population;1;;19;0.646;0.704;9.63;NA;51.518458;-55.807849;11;30;71;40;5790911073;5790911.073;;;;;;;;;;;;;;
1250;R154 & R808;2008;Anadromous;Osmeridae;Osmerus;mordax;Osmerus_mordax;Rainbow smelt;NAm;CAN;Salmon Cove River ;94;0.1245;Population;1;;19;0.583;0.618;11.5;NA;47.785162;-53.152343;11;30;71;40;5790911073;5790911.073;;;;;;;;;;;;;;
1251;R154 & R808;2008;Anadromous;Osmeridae;Osmerus;mordax;Osmerus_mordax;Rainbow smelt;NAm;CAN;Salmonier River + Colinet River + North Harbour River;455;0.0868;Population;3;Middle;19;0.653;0.644;9.046;NA;47.122722;-53.543865;11;30;71;40;5790911073;5790911.073;;;;;;;;;;;;;;
1252;R154 & R808;2008;Anadromous;Osmeridae;Osmerus;mordax;Osmerus_mordax;Rainbow smelt;NAm;CAN;Salt Pond Brook ;92;0.1141;Population;1;;19;0.631;0.687;10.25;NA;47.157862;-55.175611;11;30;71;40;5790911073;5790911.073;;;;;;;;;;;;;;
1253;R154 & R808;2008;Anadromous;Osmeridae;Osmerus;mordax;Osmerus_mordax;Rainbow smelt;NAm;CAN;Smelt Brook; Point Amal ;80;0.074;Population;1;;19;0.784;0.794;14.25;NA;48.562891;-58.724638;11;30;71;40;5790911073;5790911.073;;;;;;;;;;;;;
1254;R154 & R808;2008;Anadromous;Osmeridae;Osmerus;mordax;Osmerus_mordax;Rainbow smelt;NAm;CAN;Southeast Placentia ;94;0.0914;Population;1;;19;0.608;0.617;10;NA;47.227993;-53.954011;11;30;71;40;5790911073;5790911.073;;;;;;;;;;;;;;
1255;R154 & R808;2008;Anadromous;Osmeridae;Osmerus;mordax;Osmerus_mordax;Rainbow smelt;NAm;CAN;Traverse Pond;93;0.1267;Population;1;;19;0.611;0.66;11;NA;49.079746;-53.888133;11;30;71;40;5790911073;5790911.073;;;;;;;;;;;;;;
1256;R155;2004;Anadromous;Osmeridae;Osmerus;mordax;Osmerus_mordax;Rainbow smelt;NAm;CAN;Mill brook dwarf;30;0.0898;Population;1;;7;0.73;0.74;10;NA;45.206665;-66.811703;5;30;71;40;5790911073;5790911.073;;;;;;;;;;;;;;
1257;R155;2004;Anadromous;Osmeridae;Osmerus;mordax;Osmerus_mordax;Rainbow smelt;NAm;CAN;Mill brook intermediate;30;0.0792;Population;1;;7;0.74;0.72;11;NA;45.206665;-66.811703;5;30;71;40;5790911073;5790911.073;;;;;;;;;;;;;;
1258;R155;2004;Anadromous;Osmeridae;Osmerus;mordax;Osmerus_mordax;Rainbow smelt;NAm;CAN;Mill stream  (2000);30;0.0616;Population;1;;7;0.58;0.59;8;NA;45.205602;-66.777923;5;30;71;40;5790911073;5790911.073;;;;;;;;;;;;;;
1259;R155;2004;Anadromous;Osmeridae;Osmerus;mordax;Osmerus_mordax;Rainbow smelt;NAm;CAN;Scout brook dwarf;30;0.0846;Population;1;;7;0.71;0.73;12;NA;45.20838;-66.78628;5;30;71;40;5790911073;5790911.073;;;;;;;;;;;;;;
1260;R155;2004;Anadromous;Osmeridae;Osmerus;mordax;Osmerus_mordax;Rainbow smelt;NAm;CAN;Scout brook intermediate;30;0.1026;Population;1;;7;0.59;0.6;7;NA;45.20838;-66.78628;5;30;71;40;5790911073;5790911.073;;;;;;;;;;;;;;
1261;R155;2004;Anadromous;Osmeridae;Osmerus;mordax;Osmerus_mordax;Rainbow smelt;NAm;CAN;Unnamed brook dwarf;30;0.065;Population;1;;7;0.7;0.61;10;NA;45.21026;-66.806233;5;30;71;40;5790911073;5790911.073;;;;;;;;;;;;;;
1262;R155;2004;Anadromous;Osmeridae;Osmerus;mordax;Osmerus_mordax;Rainbow smelt;NAm;CAN;Unnamed brook intermediate;30;0.1449;Population;1;;7;0.73;0.74;9;NA;45.21026;-66.806233;5;30;71;40;5790911073;5790911.073;;;;;;;;;;;;;;
1263;R156;2003;Anadromous;Osmeridae;Osmerus;mordax;Osmerus_mordax;Rainbow smelt;NAm;CAN;Ashuapmushuan normal ecotype;82;0.0245;Population;1;;2;0.65;0.67;11;NA;48.710889;-72.512368;6;30;71;40;5790911073;5790911.073;;;;;;;;;;;;;;
1264;R156;2003;Anadromous;Osmeridae;Osmerus;mordax;Osmerus_mordax;Rainbow smelt;NAm;CAN;Peribonka both ecotypes;276;0.0157;Population;1;;2;0.64;0.66;12.667;NA;48.726864;-71.919699;6;30;71;40;5790911073;5790911.073;;;;;;;;;;;;;;
1265;R157;2016;Freshwater;Osteoglossidae;Osteoglossum;bicirrhosum;Osteoglossum_bicirrhosum;Silver arowana ;SAm;PER;El Dorado;53;0.1025;Population;1;;5;NA;NA;4.6;NA;-5.075;-74.31944444;10;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1266;R157;2016;Freshwater;Osteoglossidae;Osteoglossum;bicirrhosum;Osteoglossum_bicirrhosum;Silver arowana ;SAm;PER;El Estrecho;67;0.1225;Population;1;;5;NA;NA;4.6;NA;-2.583611111;-72.75027778;10;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1267;R157;2016;Freshwater;Osteoglossidae;Osteoglossum;bicirrhosum;Osteoglossum_bicirrhosum;Silver arowana ;SAm;PER;Huapapa;68;0.1775;Population;1;;5;NA;NA;4.6;NA;-2.538888889;-70.42611111;10;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1268;R157;2016;Freshwater;Osteoglossidae;Osteoglossum;bicirrhosum;Osteoglossum_bicirrhosum;Silver arowana ;SAm;PER;Huicungo;53;0.205;Population;1;;5;NA;NA;4.6;NA;-6.131388889;-74.13419444;10;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1269;R157;2016;Freshwater;Osteoglossidae;Osteoglossum;bicirrhosum;Osteoglossum_bicirrhosum;Silver arowana ;SAm;PER;Rimachi;58;0.1675;Population;1;;5;NA;NA;4.6;NA;-4.437777778;-76.66694444;10;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1270;R158;2013;Freshwater;Osteoglossidae;Osteoglossum;ferreirai;Osteoglossum_ferreirai;Black arowana ;SAm;BRA;Barcelos+Santa Isabel+Moura (Negro river);72;0.0559;Population;3;Middle;2;0.462;0.492;4.333;NA;-0.245808;-63.12959;8;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1271;R158;2013;Freshwater;Osteoglossidae;Osteoglossum;ferreirai;Osteoglossum_ferreirai;Black arowana ;SAm;COL;Bita river+Tuteque lagoon (Colombian orinoco);71;0.0559;Population;2;Middle;2;0.339;0.44;4.167;NA;6.16125;-67.516903;8;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1272;R159;2009;Freshwater;Osteoglossidae;Osteoglossum;bicirrhosum;Osteoglossum_bicirrhosum;Silver arowana ;SAm;BRA;RDS Mamiraua; Amazonas;24;NA;NA;1;;1;0.3;0.333;3.579;NA;-2.219962;-65.727344;19;NA;NA;NA;NA;NA;;;;;;;;;;;;;
1273;R160;2014;Freshwater;Osteoglossidae;Osteoglossum;bicirrhosum;Osteoglossum_bicirrhosum;Silver arowana ;SAm;BRA;RDS Piagacu-Purus;282;NA;NA;1;;1;NA;NA;4.5;NA;-5.583333333;-63.58333333;8;NA;NA;NA;NA;NA;;;;;;;;;;;;;;
1274;R161;2015;Freshwater;Percidae;Ammocrypta;pellucida;Ammocrypta_pellucida;Eastern Sand Darter;NAm;USA;Big Creek;39;0.0767;Population;1;;16;0.728;0.741;NA;5.87;38.13416667;-84.86444444;10;10;47;36;5.42159E+11;542158730.5;;;;;;;;;;;;;;
1275;R161;2015;Freshwater;Percidae;Ammocrypta;pellucida;Ammocrypta_pellucida;Eastern Sand Darter;NAm;USA;Champlain Canal;11;0.2243;Population;1;;16;0.491;0.445;NA;2.64;43.01916667;-72.84888889;10;10;47;36;5.42159E+11;542158730.5;;;;;;;;;;;;;;
1276;R161;2015;Freshwater;Percidae;Ammocrypta;pellucida;Ammocrypta_pellucida;Eastern Sand Darter;NAm;USA;Deer Creek;32;0.0745;Population;1;;16;0.712;0.727;NA;5.84;39.00055556;-85.91416667;10;10;47;36;5.42159E+11;542158730.5;;;;;;;;;;;;;;
1277;R161;2015;Freshwater;Percidae;Ammocrypta;pellucida;Ammocrypta_pellucida;Eastern Sand Darter;NAm;USA;East Fork White River;32;0.0807;Population;1;;16;0.694;0.747;NA;5.53;39.13583333;-84.94777778;10;10;47;36;5.42159E+11;542158730.5;;;;;;;;;;;;;;
1278;R161;2015;Freshwater;Percidae;Ammocrypta;pellucida;Ammocrypta_pellucida;Eastern Sand Darter;NAm;USA;Eel river;30;0.1184;Population;1;;16;0.676;0.683;NA;4.71;40.15027778;-85.9;10;10;47;36;5.42159E+11;542158730.5;;;;;;;;;;;;;;
1279;R161;2015;Freshwater;Percidae;Ammocrypta;pellucida;Ammocrypta_pellucida;Eastern Sand Darter;NAm;CAN;Grand River;162;0.1129;Population;1;;16;0.725;0.742;NA;5.433;43.11666667;-79.98138889;10;10;47;36;5.42159E+11;542158730.5;;;;;;;;;;;;;;
1280;R161;2015;Freshwater;Percidae;Ammocrypta;pellucida;Ammocrypta_pellucida;Eastern Sand Darter;NAm;USA;Hocking River;164;0.1232;Population;1;;16;0.625;0.648;NA;5.424;39.13416667;-80.88333333;10;10;47;36;5.42159E+11;542158730.5;;;;;;;;;;;;;;
1281;R161;2015;Freshwater;Percidae;Ammocrypta;pellucida;Ammocrypta_pellucida;Eastern Sand Darter;NAm;USA;Licking River;19;0.1266;Population;1;;16;0.714;0.777;NA;5.31;38.03333333;-82.9975;10;10;47;36;5.42159E+11;542158730.5;;;;;;;;;;;;;;
1282;R161;2015;Freshwater;Percidae;Ammocrypta;pellucida;Ammocrypta_pellucida;Eastern Sand Darter;NAm;USA;Little Muskingum River;79;0.0948;Population;1;;16;0.677;0.7;NA;5.473;39.06722222;-80.98305556;10;10;47;36;5.42159E+11;542158730.5;;;;;;;;;;;;;;
1283;R161;2015;Freshwater;Percidae;Ammocrypta;pellucida;Ammocrypta_pellucida;Eastern Sand Darter;NAm;USA;Maumee river ;161;0.1107;Population;1;;16;0.668;0.694;NA;4.916;40.05027778;-84.99833333;10;10;47;36;5.42159E+11;542158730.5;;;;;;;;;;;;;;
1284;R161;2015;Freshwater;Percidae;Ammocrypta;pellucida;Ammocrypta_pellucida;Eastern Sand Darter;NAm;USA;Red River;17;0.1133;Population;1;;16;0.58;0.687;NA;5.33;37.15027778;-82.9325;10;10;47;36;5.42159E+11;542158730.5;;;;;;;;;;;;;;
1285;R161;2015;Freshwater;Percidae;Ammocrypta;pellucida;Ammocrypta_pellucida;Eastern Sand Darter;NAm;CAN;Richelieu River;57;0.1287;Population;1;;16;0.609;0.599;NA;4.275;45.135;-72.98166667;10;10;47;36;5.42159E+11;542158730.5;;;;;;;;;;;;;;
1286;R161;2015;Freshwater;Percidae;Ammocrypta;pellucida;Ammocrypta_pellucida;Eastern Sand Darter;NAm;CAN;Riviere au Saumon;21;0.109;Population;1;;16;0.631;0.621;NA;4.26;44.99916667;-74.51055556;10;10;47;36;5.42159E+11;542158730.5;;;;;;;;;;;;;;
1287;R161;2015;Freshwater;Percidae;Ammocrypta;pellucida;Ammocrypta_pellucida;Eastern Sand Darter;NAm;USA;Salt Creek;66;0.1379;Population;1;;16;0.709;0.695;NA;5.653;39.1;-81.99777778;10;10;47;36;5.42159E+11;542158730.5;;;;;;;;;;;;;;
1288;R161;2015;Freshwater;Percidae;Ammocrypta;pellucida;Ammocrypta_pellucida;Eastern Sand Darter;NAm;CAN;Sydenham River;12;0.1166;Population;1;;16;0.6;0.702;NA;5.47;42.13583333;-81.99861111;10;10;47;36;5.42159E+11;542158730.5;;;;;;;;;;;;;;
1289;R161;2015;Freshwater;Percidae;Ammocrypta;pellucida;Ammocrypta_pellucida;Eastern Sand Darter;NAm;USA;Thames River;27;0.0861;Population;1;;16;0.701;0.718;NA;5.562;42.08472222;-80.91527778;10;10;47;36;5.42159E+11;542158730.5;;;;;;;;;;;;;;
1290;R162;2013;Freshwater;Percidae;Etheostoma;bison;Etheostoma_bison;Buffalo Darter;NAm;USA;Coon Creek;43;0.04;Population;1;;3;0.602;0.71;9.643;NA;35.1222979;-84.5582645;14;2;37;35;16532473962;16532473.96;;;;;;;;;;;;;;
