"","X","Name_lc","tax","kingdom","phylum","class","order","family","genus","species","verbatimScientificName","SpeciesChecked"
"37",167,"Aulactinia verater","other","Animalia","Cnidaria","Anthozoa","Actiniaria","Actiniidae","Aulactinia","Aulactinia verater","Aulactinia verater","Aulactinia verater"
"38",168,"Austrolittorina unifasciata","other","Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Austrolittorina","Austrolittorina unifasciata","Austrolittorina unifasciata","Austrolittorina unifasciata"
"39",169,"Austromegabalanus nigrescens","other","Animalia","Arthropoda","Hexanauplia","Sessilia","Balanidae","Austromegabalanus","Austromegabalanus nigrescens","Austromegabalanus nigrescens","Austromegabalanus nigrescens"
"40",170,"Catomerus polymerus","other","Animalia","Arthropoda","Hexanauplia","Sessilia","Catophragmidae","Catomerus","Catomerus polymerus","Catomerus polymerus","Catomerus polymerus"
"41",171,"Cellana conciliata","other","Animalia","Mollusca","Gastropoda","Nacellidae","Cellana","Cellana conciliata","Cellana conciliata","Cellana conciliata","Cellana conciliata"
"42",172,"Cellana tramoserica","other","Animalia","Mollusca","Gastropoda",NA,"Nacellidae","Cellana","Cellana tramoserica","Cellana tramoserica","Cellana tramoserica"
"43",173,"Chamaesipho tasmanica (C. columna)","other","Animalia","Arthropoda","Maxillopoda","Sessilia","Chthamalidae","Chamaesipho","Chamaesipho tasmanica","Chamaesipho tasmanica","Chamaesipho tasmanica"
"44",174,"Chthamalus antennatus","other","Animalia","Arthropoda","Hexanauplia","Sessilia","Chthamalidae","Chthamalus","Chthamalus antennatus","Chthamalus antennatus","Chthamalus antennatus"
"45",175,"Chthamalus malayensis","other","Animalia","Arthropoda","Hexanauplia","Sessilia","Chthamalidae","Chthamalus","Chthamalus malayensis","Chthamalus malayensis","Chthamalus malayensis"
"46",176,"Chthamalus withersii","other","Animalia","Arthropoda","Maxillopoda","Sessilia","Chthamalidae","Microeuraphia","Microeuraphia withersi","Microeuraphia withersi","Microeuraphia withersi"
"47",177,"Dicathais orbita","other","Animalia","Mollusca","Gastropoda","Neogastropoda","Muricidae","Dicathais","Dicathais orbita","Dicathais orbita","Dicathais orbita"
"48",178,"Galeolaria caespitosa","other","Animalia","Annelida","Polychaeta","Sabellida","Serpulidae","Galeolaria","Galeolaria caespitosa","Galeolaria caespitosa","Galeolaria caespitosa"
"49",179,"Littoraria undulata","other","Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littoraria","Littoraria undulata","Littoraria undulata","Littoraria undulata"
"50",180,"Monodonta labio","other","Animalia","Mollusca","Gastropoda","Trochida","Trochidae","Monodonta","Monodonta labio","Monodonta labio","Monodonta labio"
"51",181,"Nerita albicilla","other","Animalia","Mollusca","Gastropoda","Cycloneritida","Neritidae","Nerita","Nerita albicilla","Nerita albicilla","Nerita albicilla"
"52",182,"Nerita chamaeleon","other","Animalia","Mollusca","Gastropoda","Cycloneritida","Neritidae","Nerita","Nerita chamaeleon","Nerita chamaeleon","Nerita chamaeleon"
