"PopId","RefID","Year","TaxaClass","Family","Genus","Species","G_s","Common","Continent","Country","Location","n","FST","GlobalFST","PopsCombo","GroupedCoord","Ho","He","MNA","AR","Lat","Long","Msats","spp","spp_new"
23,"R4",2010,"Freshwater","Acipenseridae","Acipenser","brevirostrum","Acipenser_brevirostrum","Shortnose sturgeon","NAm","USA","Lake Marion","33","NA","NA",1,NA,"NA","0.13700000000000001","NA","NA",33.466679,-80.317542,"11","Acipenser brevirostrum","Acipenser brevirostrum"
24,"R4",2010,"Freshwater","Acipenseridae","Acipenser","brevirostrum","Acipenser_brevirostrum","Shortnose sturgeon","NAm","USA","Merrimack","22","NA","NA",1,NA,"NA","0.16300000000000001","NA","NA",42.818498,-70.875745,"11","Acipenser brevirostrum","Acipenser brevirostrum"
25,"R4",2010,"Freshwater","Acipenseridae","Acipenser","brevirostrum","Acipenser_brevirostrum","Shortnose sturgeon","NAm","USA","Penobscot","39","NA","NA",1,NA,"NA","0.182","NA","NA",44.52,-68.8,"11","Acipenser brevirostrum","Acipenser brevirostrum"
26,"R4",2010,"Freshwater","Acipenseridae","Acipenser","brevirostrum","Acipenser_brevirostrum","Shortnose sturgeon","NAm","CAN","Saint John River","25","NA","NA",1,NA,"NA","0.17899999999999999","NA","NA",45.36198,-66.2266,"11","Acipenser brevirostrum","Acipenser brevirostrum"
27,"R4",2010,"Freshwater","Acipenseridae","Acipenser","brevirostrum","Acipenser_brevirostrum","Shortnose sturgeon","NAm","USA","Santee-Cooper","42","NA","NA",1,NA,"NA","0.151","NA","NA",33.14634,-79.309592,"11","Acipenser brevirostrum","Acipenser brevirostrum"
28,"R4",2010,"Freshwater","Acipenseridae","Acipenser","brevirostrum","Acipenser_brevirostrum","Shortnose sturgeon","NAm","USA","Savannah","34","NA","NA",1,NA,"NA","0.158","NA","NA",32.089941,-81.021193,"11","Acipenser brevirostrum","Acipenser brevirostrum"
29,"R4",2010,"Freshwater","Acipenseridae","Acipenser","brevirostrum","Acipenser_brevirostrum","Shortnose sturgeon","NAm","USA","Winyah Bay","47","NA","NA",1,NA,"NA","0.151","NA","NA",33.318523,-79.283772,"11","Acipenser brevirostrum","Acipenser brevirostrum"
30,"R5",2014,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake Sturgeon","NAm","CAN","Kenogami River","104","8.3000000000000004E-2","Population",1,NA,"0.58599999999999997","NA","NA","4.1900000000000004",51.066871,-84.573748,"14","Acipenser fulvescens","Acipenser fulvescens"
31,"R5",2014,"Freshwater","Acipenseridae","Acipenser","fulvescens","Acipenser_fulvescens","Lake Sturgeon","NAm","CAN","Ottawa River","50","8.3000000000000004E-2","Population",1,NA,"0.48199999999999998","NA","NA","3.52",45.5324176,-76.597666,"14","Acipenser fulvescens","Acipenser fulvescens"
32,"R6",2009,"Freshwater","Acipenseridae","Acipenser","medirostris","Acipenser_medirostris","Green Sturgeon","NAm","USA","Columbia River","94","2.4E-2","Population",1,NA,"0.54200000000000004","0.625","10.4","NA",46.148408,-123.294192,"10","Acipenser medirostris","Acipenser medirostris"
