"var";"moy";"sd";"median";"q025";"p975";"pv.inf0";"pv.sup0";"model"
"(Intercept)";0.282400722057172;1.5652699576776;0.193007932897618;-2.54006304738448;3.65423392040876;0.5511;0.4489;"TE"
"ContinuousGrain";-0.162511828138092;0.170265367893363;-0.150425259262135;-0.532496924836587;0.141093219788172;0.1655;0.8345;"TE"
"LogExtent";0.109727022935531;0.15834194575142;0.117444918810337;-0.22078476838915;0.406245354718875;0.7717;0.2283;"TE"
"LogNtempUnits";-0.365076331485373;0.163533514009663;-0.361116056039993;-0.630962708243353;-0.143838402538567;0.0071;0.9929;"TE"
"PrAbabundance";1.06939251344017;0.530165373030561;1.06983765324866;0.215137860420248;1.98786654772716;0.9887;0.0113;"TE"
"QualityRAW";0.689206121631345;0.32285835434502;0.710857934418342;0.00640339187280093;1.27566399198034;0.9758;0.0242;"TE"
"QualityRESURVEYED";-0.745738848769807;0.331476561447284;-0.731187014110682;-1.43832999228841;-0.117950719003405;0.00970000000000004;0.9903;"TE"
"scale(GD)";0.017583191847652;0.0815419808176338;0.0140316030870251;-0.134733703656929;0.184882110674332;0.5701;0.4299;"TE"
"scale(vel_abs)";0.273865182476214;0.0942660794275823;0.271231539714626;0.0924077645294688;0.464839325886472;0.9982;0.00180000000000002;"TE"
"scale(vel_abs):scale(GD)";-0.0749577000227621;0.0671775390330765;-0.0599779606707204;-0.258424688602242;0.0107699286192988;0.0488;0.9512;"TE"
