"vel_abs";"moy";"sd";"median";"q025";"p975";"pv.inf0";"pv.sup0"
"0";0.22896413027233;0.0463130468286305;0.230564830712889;0.134186127840506;0.315420284885288;1;0
"0.1";0.22265348554047;0.0450485598918695;0.22414562492508;0.130758204636477;0.306662444064725;1;0
"0.2";0.216342840808609;0.0437933826837066;0.217811773576876;0.127053776124883;0.29799272366452;1;0
"0.3";0.210032196076748;0.0425483391238904;0.211437667209036;0.122962902312646;0.289615308620964;1;0
"0.4";0.203721551344888;0.0413143453813731;0.205015436215564;0.119090911556941;0.28107449568834;1;0
"0.5";0.197410906613027;0.0400924217670992;0.198683549152225;0.115372655444339;0.27265474107601;1;0
"0.6";0.191100261881166;0.03888370621199;0.192281184043637;0.11172941903367;0.264061833065653;1;0
"0.7";0.184789617149306;0.0376894694998419;0.185800703512448;0.107993912577953;0.255205725169062;1;0
"0.8";0.178478972417445;0.0365111324166818;0.179406757492636;0.103991340882108;0.246855133466367;1;0
"0.9";0.172168327685584;0.035350284953409;0.173005840496147;0.100233229248503;0.238240565819045;1;0
"1";0.165857682953724;0.0342087076487223;0.166723445382431;0.0963386307168451;0.229674242292656;1;0
"1.1";0.159547038221863;0.0330883950725035;0.16026697011017;0.0923513720995366;0.221309982058544;1;0
"1.2";0.153236393490002;0.0319915813101226;0.153946366026869;0.0881280245433994;0.212840503532803;1;0
"1.3";0.146925748758142;0.0309207670949492;0.14764186183563;0.0841545906358723;0.204698209293414;1;0
"1.4";0.140615104026281;0.0298787479243656;0.14121634708717;0.0801502264142543;0.19685640106292;1;0
"1.5";0.13430445929442;0.0288686420547497;0.134898851808371;0.0758141977093513;0.18869096767008;1;0
"1.6";0.12799381456256;0.0278939166739369;0.128506367241189;0.0717411006270527;0.180798761829869;1;0
"1.7";0.121683169830699;0.0269584097733823;0.122187152129095;0.0674533596054254;0.172810882331105;1;0
"1.8";0.115372525098838;0.0260663442848522;0.115879422123693;0.0629917375920895;0.164753095851855;1;0
"1.9";0.109061880366978;0.0252223299481448;0.109564578085454;0.0584865768388703;0.156754161052828;1;0
"2";0.102751235635117;0.0244313472493744;0.103133172724049;0.0535087261958682;0.149058715148362;1;0
"2.1";0.0964405909032563;0.0236987068338281;0.0968675046765398;0.0483666685649045;0.141530049164117;1;0
"2.2";0.0901299461713956;0.0230299774107952;0.0905087665485367;0.0432878159293764;0.13395028861574;1;0
"2.3";0.0838193014395349;0.0224308758245756;0.0841620696388324;0.0380084380334385;0.126334171213542;1;0
"2.4";0.0775086567076742;0.0219071152309727;0.0778157392180692;0.0330756917010979;0.119049590102214;0.9998;0.000199999999999978
"2.5";0.0711980119758136;0.0214642116556488;0.0714584631549024;0.0280092760195078;0.111539366469206;0.9994;0.000600000000000045
"2.6";0.0648873672439529;0.0211072556961737;0.0651852437903298;0.0222067448155332;0.104536612250253;0.9986;0.00139999999999996
"2.7";0.0585767225120922;0.0208406641165441;0.0588779863318707;0.0162093673256756;0.0979203939020636;0.9966;0.00339999999999996
"2.8";0.0522660777802315;0.0206679339892344;0.0526180190000204;0.010218607747547;0.0913599646146871;0.992;0.00800000000000001
"2.9";0.0459554330483709;0.0205914275055879;0.0465073565729873;0.00368703173981827;0.0846435291699559;0.9839;0.0161
"3";0.0396447883165102;0.0206122161550428;0.0402659193501773;-0.00284592812185321;0.0783145733629774;0.9662;0.0338000000000001
"3.1";0.0333341435846495;0.020730007228564;0.0339253051035145;-0.00942181176929962;0.072205664268634;0.9397;0.0603
"3.2";0.0270234988527889;0.0209431640718449;0.0276740742257332;-0.016372780064795;0.0661328847526594;0.8973;0.1027
"3.3";0.0207128541209282;0.0212488169024514;0.0214479898817267;-0.0232067797232107;0.0604191656252784;0.8392;0.1608
"3.4";0.0144022093890675;0.0216430472655166;0.0152445699634586;-0.0303580623553218;0.0546235210052587;0.7565;0.2435
"3.5";0.00809156465720684;0.0221211199284903;0.00900373642988318;-0.0375647627801544;0.0493376698406048;0.6613;0.3387
