"var";"moy";"sd";"median";"q025";"p975";"pv.inf0";"pv.sup0";"model"
"(Intercept)";0.968457818571162;1.49168848845994;0.900013733102094;-1.77287913833829;4.10667758960091;0.7357;0.2643;"TE"
"ContinuousGrain";-0.161549392544629;0.171153156318964;-0.151984922664938;-0.521558431688;0.142030898499457;0.1701;0.8299;"TE"
"LogExtent";0.109676687770613;0.15762104663723;0.115614614761394;-0.221710691488058;0.40365543623854;0.7671;0.2329;"TE"
"LogNtempUnits";-0.364748128343056;0.156854756219761;-0.36180519411896;-0.636901438849521;-0.142257286430292;0.00839999999999996;0.9916;"TE"
"PrAbabundance";1.07436068010641;0.519164876382792;1.06896766435023;0.228754846846857;2.00415022633827;0.9878;0.0122;"TE"
"QualityBALANCED";-0.690133050221272;0.325109240136248;-0.706635572125631;-1.27384006273797;0.00429373124526924;0.0256;0.9744;"TE"
"QualityRESURVEYED";-1.4299617420468;0.220117899874435;-1.42420363411218;-1.87326682702628;-1.01699960519022;0;1;"TE"
"scale(GD)";0.0175586510709608;0.0797615070272662;0.015511323865051;-0.13414238070221;0.179292621534966;0.5793;0.4207;"TE"
"scale(vel_abs)";0.271439182398493;0.0942111936897136;0.270816498927442;0.088405857118471;0.460716850508799;0.9982;0.00180000000000002;"TE"
"scale(vel_abs):scale(GD)";-0.0758460966723733;0.0670725001595509;-0.0608197006573507;-0.258758579851008;0.0108628027851404;0.0449000000000001;0.9551;"TE"
