"vel_abs";"moy";"sd";"median";"q025";"p975";"pv.inf0";"pv.sup0"
"0";0.200616389915218;0.196258465007211;0.185198757292837;-0.136517392042201;0.624154570948795;0.8595;0.1405
"0.1";0.18331973115643;0.187102232567047;0.16902036029905;-0.14198942254445;0.581994383131532;0.8462;0.1538
"0.2";0.166023072397642;0.178370371071544;0.153403449582523;-0.147182137521179;0.542288203919954;0.8302;0.1698
"0.3";0.148726413638853;0.170128235813069;0.137569530689757;-0.151988580880827;0.504717837612795;0.8139;0.1861
"0.4";0.131429754880065;0.162450384627352;0.121845407185865;-0.158148413900597;0.468032871532091;0.7916;0.2084
"0.5";0.114133096121277;0.155420467797269;0.105634185175765;-0.164968732670844;0.433919643372049;0.7661;0.2339
"0.6";0.096836437362489;0.149130143348384;0.0892842818336043;-0.17260923014777;0.402378796067484;0.738;0.262
"0.7";0.0795397786037008;0.143676584730906;0.0723597799976097;-0.182381167481784;0.370021646439756;0.7036;0.2964
"0.8";0.0622431198449127;0.139158204374752;0.0558427743984755;-0.193487698899867;0.343987855495028;0.6611;0.3389
"0.9";0.0449464610861245;0.135668471612653;0.0395976861635559;-0.208355388805339;0.319729507321115;0.6145;0.3855
"1";0.0276498023273364;0.133288206660085;0.024110675635602;-0.22547482787058;0.297581051272366;0.5683;0.4317
"1.1";0.0103531435685482;0.132077406772128;0.00903530664351874;-0.242958643252035;0.276781775422797;0.5247;0.4753
"1.2";-0.00694351519023998;0.1320682407874;-0.00770025831075774;-0.263408164342887;0.254891141102056;0.4765;0.5235
"1.3";-0.0242401739490281;0.133260956659284;-0.0244602930003914;-0.285413331149696;0.235342988956118;0.4288;0.5712
"1.4";-0.0415368327078163;0.135623848989978;-0.0395135220338505;-0.314615902663363;0.216805925756966;0.3805;0.6195
"1.5";-0.0588334914666044;0.139097296019749;-0.0538251185023468;-0.345729093592875;0.198719262219392;0.3392;0.6608
"1.6";-0.0761301502253926;0.143600733303124;-0.0674094453657917;-0.379202791053177;0.182411145615479;0.2988;0.7012
"1.7";-0.0934268089841807;0.149040823100332;-0.0805551527798948;-0.416148837377256;0.166944884727209;0.2638;0.7362
"1.8";-0.110723467742969;0.155319177166549;-0.0931687851252863;-0.454857768324699;0.151245436180572;0.2311;0.7689
"1.9";-0.128020126501757;0.162338566400606;-0.107144176258772;-0.496309931227597;0.136669625946356;0.2004;0.7996
"2";-0.145316785260545;0.170007226276867;-0.11939665662722;-0.539446351153247;0.123983122282005;0.1735;0.8265
"2.1";-0.162613444019333;0.178241373793359;-0.131150883848927;-0.581132608498467;0.109591314624203;0.1486;0.8514
"2.2";-0.179910102778122;0.1869663102732;-0.14267460786662;-0.623568972226576;0.0961127297930619;0.1263;0.8737
"2.3";-0.19720676153691;0.196116543215112;-0.154206234332118;-0.669606332952883;0.0828732719243372;0.104;0.896
"2.4";-0.214503420295698;0.205635306715932;-0.166308381935254;-0.716123628551232;0.0707718226385404;0.0855;0.9145
"2.5";-0.231800079054486;0.215473765720346;-0.177030430436532;-0.765020117401421;0.0578478043440296;0.0714;0.9286
"2.6";-0.249096737813274;0.225590096323614;-0.18876242584192;-0.810700080217841;0.0454479945079605;0.0573;0.9427
"2.7";-0.266393396572062;0.235948559870427;-0.199771818493785;-0.85784331089708;0.0349383661174015;0.0466;0.9534
"2.8";-0.28369005533085;0.246518635706512;-0.21096051106793;-0.903471831216038;0.0218241089291494;0.0384;0.9616
"2.9";-0.300986714089639;0.25727424297102;-0.222146872270442;-0.952926330228317;0.00986405222902541;0.0316;0.9684
"3";-0.318283372848427;0.26819306095062;-0.232604880311708;-1.00786593971723;-0.00106768540252978;0.0247000000000001;0.9753
"3.1";-0.335580031607215;0.279255945841544;-0.243510440333574;-1.05599459789194;-0.0113825234990988;0.0193;0.9807
"3.2";-0.352876690366003;0.29044643591149;-0.25454286053564;-1.10454964386103;-0.0229152117771273;0.0158;0.9842
"3.3";-0.370173349124791;0.301750334680112;-0.266403782838394;-1.15304274004302;-0.0339166249136797;0.0125999999999999;0.9874
"3.4";-0.387470007883579;0.313155361323213;-0.277143509664987;-1.20198292836565;-0.0434575864130946;0.0103;0.9897
"3.5";-0.404766666642367;0.324650858109792;-0.288599654653545;-1.25296758102996;-0.0528749310614649;0.00849999999999995;0.9915
"3.6";-0.422063325401156;0.33622754574457;-0.300099077512019;-1.30381953658014;-0.0622462271115596;0.00790000000000002;0.9921
"3.7";-0.439359984159944;0.347877318696477;-0.311061522984477;-1.35169599798433;-0.0706337167407689;0.00690000000000002;0.9931
"3.8";-0.456656642918732;0.359593073778574;-0.322484829788122;-1.4030362987177;-0.0783480829346556;0.00660000000000005;0.9934
"3.9";-0.47395330167752;0.371368566326818;-0.334218549246696;-1.45365265063755;-0.0872660447604986;0.00580000000000003;0.9942
"4";-0.491249960436308;0.383198289273047;-0.346145731084829;-1.50600794970047;-0.092946911603433;0.00539999999999996;0.9946
"4.1";-0.508546619195097;0.395077371217314;-0.357845321495311;-1.55605199040075;-0.0998652098559989;0.00490000000000002;0.9951
"4.2";-0.525843277953885;0.407001490285008;-0.369927715418142;-1.60612268668096;-0.106117903916839;0.00470000000000004;0.9953
"4.3";-0.543139936712673;0.41896680111972;-0.381858281153261;-1.658196935764;-0.111446944793284;0.00439999999999996;0.9956
"4.4";-0.560436595471461;0.430969872829651;-0.394118675435721;-1.70944799094579;-0.117976259761381;0.00419999999999998;0.9958
"4.5";-0.577733254230249;0.443007636088995;-0.40619016908102;-1.76365761688845;-0.124188284193344;0.00370000000000004;0.9963
"4.6";-0.595029912989037;0.455077337910332;-0.418118086134626;-1.81168774060628;-0.13044785433695;0.00319999999999998;0.9968
"4.7";-0.612326571747825;0.467176502861594;-0.429923220457754;-1.85956039266364;-0.135867502325373;0.00319999999999998;0.9968
"4.8";-0.629623230506614;0.479302899712138;-0.442347568361554;-1.90890479411074;-0.140625706356486;0.00319999999999998;0.9968
"4.9";-0.646919889265402;0.491454512665189;-0.455239762503632;-1.9591711064757;-0.145904237108723;0.00290000000000001;0.9971
"5";-0.66421654802419;0.503629516475686;-0.467452876933437;-2.00676473076577;-0.15207536963458;0.00290000000000001;0.9971
"5.1";-0.681513206782978;0.515826254868952;-0.479810330186109;-2.05366960653581;-0.158555737153457;0.00270000000000004;0.9973
"5.2";-0.698809865541766;0.528043221771442;-0.492238410463666;-2.10094848395517;-0.16338378095738;0.00270000000000004;0.9973
"5.3";-0.716106524300554;0.540279044943851;-0.505517619754144;-2.15260533632352;-0.167975272760947;0.00249999999999995;0.9975
"5.4";-0.733403183059342;0.552532471672169;-0.51749458594506;-2.2007334612754;-0.171894919739208;0.00260000000000005;0.9974
"5.5";-0.750699841818131;0.564802356226417;-0.530550558614739;-2.25039090604085;-0.177252830495297;0.00260000000000005;0.9974
"5.6";-0.767996500576919;0.577087648841758;-0.542349637984029;-2.2985176201072;-0.182171118764557;0.00249999999999995;0.9975
"5.7";-0.785293159335707;0.589387386014109;-0.555974044445397;-2.34785232497573;-0.186821511371201;0.00239999999999996;0.9976
"5.8";-0.802589818094495;0.601700681933651;-0.568525722553294;-2.39766861883033;-0.192547736431498;0.00219999999999998;0.9978
"5.9";-0.819886476853283;0.614026720905807;-0.580970199205745;-2.447513570629;-0.196777805176469;0.002;0.998
"6";-0.837183135612071;0.626364750631207;-0.594215711585425;-2.49841652540113;-0.201741943726708;0.00190000000000001;0.9981
"6.1";-0.85447979437086;0.638714076234657;-0.607091659487114;-2.54721231898237;-0.206398629344071;0.00190000000000001;0.9981
"6.2";-0.871776453129648;0.651074054948689;-0.619807454602648;-2.59711103706216;-0.210297704905942;0.00190000000000001;0.9981
"6.3";-0.889073111888436;0.663444091370483;-0.632830573994955;-2.64712443299096;-0.215704705293604;0.00190000000000001;0.9981
